CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
H-300-13322-913933,2013-12-10,H-2A,2013-11-18,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-15,2014-07-01,2014-01-15,2014-07-01,FOREMAN FARM,1028 WINFRED ROAD,,RAYNE,LA,70578,,,,,"FARMWORKERS AND LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4,35,9.5,Hour,RAYNE,LA,Individual Employer
H-300-13323-174524,2013-12-12,H-2A,2013-11-19,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,PAUL LEJEUNE,4883 DURALDE HWY,,EUNICE,LA,70535,,,,,FARM WORKER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,35,9.5,Hour,EUNICE,LA,Individual Employer
H-300-13323-175274,2013-12-06,H-2A,2013-11-19,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-11-30,2014-02-01,2014-11-30,Lake Village Seed & Tire Co. Inc.,P.O. Box 802,609 Lakeside St.,Lake Village,AR,71653,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,2,48,9.5,Hour,Lake Village,AR,Individual Employer
H-300-13323-285788,2013-12-13,H-2A,2013-11-19,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,G & G FARMS INC.,6832 SALMON CREEK RD.,,WILLIAMSON,NY,14589,,,,,FRUIT FARM WORKERS,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",10,40,10.91,Hour,WILLIAMSON,NY,Individual Employer
H-300-13323-513753,2014-01-16,H-2A,2013-11-19,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-02-01,2014-12-01,2014-02-01,2014-12-01,Galen Scheresky Farms,P.O. Box 112,2663 28th St. NW,Max,ND,58759,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",6,48,12.33,Hour,Max,ND,Individual Employer
H-300-13323-654541,2013-12-05,H-2A,2013-11-21,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-07,2014-08-10,2014-01-07,2014-08-10,"Dickey Farms, Inc.",3440 Musella Road,"Mailing: PO Box 10, Musella, GA 31066",Musella,GA,31066,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Orchard Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",27,40,9.78,Hour,Musella,GA,Individual Employer
H-300-13323-784876,2013-12-12,H-2A,2013-11-19,DETERMINATION ISSUED - WITHDRAWN,2014-01-12,2014-04-15,2014-01-12,2014-04-15,Renkly Trucking,20889 458th Ave,,Volga,SD,57071,SOUTHERN IMPACT,LESLI DOWNS,FAIRVIEW,OK,Farm Worker,45-2091,Agricultural Equipment Operators,0,36,12.33,Hour,Volga,SD,Individual Employer
H-300-13323-793430,2013-12-02,H-2A,2013-11-19,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-12-01,2014-02-01,2014-12-01,D-Bar Ranch,P.O. Box 900,4949 FM 2855,Katy,TX,77493,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,2,48,10.18,Hour,Katy,TX,Individual Employer
H-300-13323-837896,2013-12-23,H-2A,2013-12-03,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2015-01-31,2014-02-01,2015-01-31,Red Pine Ranches/Mike Osguthorpe,"968 Round Up Way, Oakley, UT 84055 (Physical Address)","968 Round Up Way, Oakley, UT 84055 (Mailing Address)",Oakley,UT,84055,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,60,750,Month,Oakley,UT,Association - Filing as Agent (H-2A Only)
H-300-13323-897789,2013-12-06,H-2A,2013-11-20,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2014-01-16,2014-11-16,2014-01-16,2014-11-16,"Bracy's Nursery, LLC",64624 Dummy Line Rd,,Amite,LA,70422,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",62,40,9.5,Hour,Amite,LA,Individual Employer
H-300-13323-926310,2013-12-10,H-2A,2013-11-19,DETERMINATION ISSUED - CERTIFICATION,2014-01-03,2014-11-03,2014-01-03,2014-11-03,"Davis and Davis Farms, Inc",1303 2nd Street,,Plains,TX,79355,STATE SERVICES CORPORATION,IRAM JAFRI,WINDSOR,,AGRICULTURAL EQUIPMENT OPERATOR,45-2091,Agricultural Equipment Operators,1,48,10.5,Hour,PLAINS,TX,Individual Employer
H-300-13323-973971,2013-12-04,H-2A,2013-11-19,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-12-01,2014-02-01,2014-12-01,"Foxborough Nursery, Inc.",3611 Miller Road,,Street,MD,21154,,,,,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",24,40,10.87,Hour,Street,MD,Individual Employer
H-300-13324-014299,2013-12-10,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-12-01,2014-02-01,2014-12-01,Spoor Farms J.V.,11 North Cay,,Angleton,TX,77515,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,4,48,10.18,Hour,Angleton,TX,Individual Employer
H-300-13324-050720,2013-12-31,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-12-01,2014-02-01,2014-12-01,Lindel Farms LLC,8580 Lindel Dairy Rd,,Pampa,TX,79065,GOLDEN OPPORTUNITIES INT. LLC,HELEEN VAN TONDER,MCGREGOR,IA,Farm Machine Operator,45-2091,Agricultural Equipment Operators,4,48,10.18,Hour,Pampa,TX,Individual Employer
H-300-13324-061284,2014-01-03,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-12-01,2014-02-01,2014-12-01,"James Martin Farms, LLC.",510 Co. RD. 712,,Enterprise,AL,36330,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,2,48,9.78,Hour,Enterprise,AL,Individual Employer
H-300-13324-186694,2013-12-04,H-2A,2013-11-21,DETERMINATION ISSUED - CERTIFICATION,2014-01-20,2014-11-15,2014-01-20,2014-11-15,"Plant Odyssey, Inc.",7101 Niederwald Strasse,,Kyle,TX,78640,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,ROBIN SVEC,BAY CITY,TX,Nursery Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",23,40,10.18,Hour,Kyle,TX,Individual Employer
H-300-13324-196461,2013-12-10,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-11-30,2014-02-01,2014-11-30,"Nimmer Turf & Tree Farm, Inc.",524 Nimmer Turf Rd.,,Ridgeland,SC,29936,"Amigos AG Solutions, Inc.",Robert Wingfield,DALLAS,TX,Farm Laborer,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",22,40,9.78,Hour,Ridgeland,SC,Individual Employer
H-300-13324-222848,2013-12-05,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-07,2014-10-31,2014-01-07,2014-10-31,Bear Creek Fisheries,P. O. Box 646,900 Olive Street,Moorhead,MS,38761,Dawson International,Florene Hardigree,Mendenhall,MS,Farmworker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",12,40,9.5,Hour,Moorhead,MS,Individual Employer
H-300-13324-249740,2014-01-10,H-2A,2013-12-06,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-02-01,2014-05-31,2014-02-01,2014-05-31,MONTEMAYOR SHEEP SHEARING/ROLAND S. MONTEMAYOR,"14308 Rapheal, Bakersfield, CA 93306 (Physical Address)","14308 Rapheal, Bakersfield, CA 93306 (Mailing Address)",Bakersfield,CA,93306,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheep Shearer,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,48,1.5,Select Pay Range,Bakersfield,CA,H-2A Labor Contractor or Job Contractor
H-300-13324-274828,2013-12-04,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-04,2014-10-15,2014-01-04,2014-10-15,"DORE CRAWFISH FARMS, LLC",1191 Iota Highway,,Egan,LA,70531,"ASHLEY FORET DEES, IMMIGRATION LAW",ASHLEY DEES,LAKE CHARLES,LA,Farm worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,40,9.5,Hour,Egan,LA,Individual Employer
H-300-13324-280424,2013-12-03,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,Slash EV Ranch,22593 Rio Blanco County Road 5,,RIFLE,CO,81641,High Country Agricultural Services,Kandance Kropinak,Craig,CO,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,45,875,Month,Rifle,CO,Individual Employer
H-300-13324-341499,2013-12-06,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,TURNBULL LAND & LIVESTOCK,PO BOX 849,5938 SCENIC MESA ROAD,HOTCHKISS,CO,81419,High Country Agricultural Services,Kandance Kropinak,Craig,CO,Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,45,875,Month,HOTCHKISS,CO,Individual Employer
H-300-13324-442205,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,LOV Ranch,439 RIO BLANCO COUNTY ROAD 26,,RIFLE,CO,81650,High Country Agricultural Services,Kandance Kropinak,Craig,CO,Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,45,875,Month,Rifle,CO,Individual Employer
H-300-13324-655826,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-13,2014-07-18,2014-01-13,2014-07-18,HARVEST RIDGE VINEYARD LLC AND ASSOCIATES,1565 Combs Road,,OVID,NY,14521,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4,40,10.91,Hour,OVID,NY,Association - Joint Employer (H-2A Only)
H-300-13324-655826,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-13,2014-07-18,2014-01-13,2014-07-18,Standing Stone Vineyards,9934 Route 414,,Hector,NY,14841,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0,40,10.91,Hour,OVID,NY,
H-300-13324-655826,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-13,2014-07-18,2014-01-13,2014-07-18,Wagner Vineyards,9322 State Route 414,9501 State Route 414,Lodi,NY,14840,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0,40,10.91,Hour,OVID,NY,
H-300-13324-655826,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-13,2014-07-18,2014-01-13,2014-07-18,Wagner Farms,County Road 137,Seneca Road,Valois,NY,14841,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0,40,10.91,Hour,OVID,NY,
H-300-13324-655826,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-13,2014-07-18,2014-01-13,2014-07-18,"Lucas Vineyards, Inc.",3862 County Road #150,,Interlaken,NY,14847,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0,40,10.91,Hour,OVID,NY,
H-300-13324-655826,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-13,2014-07-18,2014-01-13,2014-07-18,"Forking Paths Vineyards, Inc",14630 State Route 54,,Hammondsport,NY,14840,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0,40,10.91,Hour,OVID,NY,
H-300-13324-655826,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-13,2014-07-18,2014-01-13,2014-07-18,Harvest Ridge Vineyards LLC,1565 Combs Road,1650 Combs Road,Ovid,NY,14521,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",0,40,10.91,Hour,OVID,NY,
H-300-13324-682689,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-07,2014-01-13,2014-11-07,HARVEST RIDGE VINEYARDS LLC AND ASSOCIATES,1565 COMBS ROAD,,OVID,NY,14521,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",19,40,10.91,Hour,OVID,NY,Association - Joint Employer (H-2A Only)
H-300-13324-682689,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-07,2014-01-13,2014-11-07,WAGNER FARMS,9224 STATE ROUTE 414,,LODI,NY,,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5,40,10.91,Hour,OVID,NY,
H-300-13324-682689,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-07,2014-01-13,2014-11-07,WAGNER VINEYARDS,9322 STATE ROUTE 414,,LODI,NY,14860,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4,40,10.91,Hour,OVID,NY,
H-300-13324-682689,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-07,2014-01-13,2014-11-07,"FORKING PATHS VINEYARDS, INC",400 BARRACKS ROAD,,GENEVA,NY,,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3,40,10.91,Hour,OVID,NY,
H-300-13324-682689,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-07,2014-01-13,2014-11-07,HARVEST RIDGE VINEYARDS LLC,1565 COMBS ROAD,,OVID,NY,14521,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",3,40,10.91,Hour,OVID,NY,
H-300-13324-682689,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-07,2013-01-13,2013-11-07,STANDING STONE VINEYARDS,9934 STATE ROUTE 414,,HECTOR,NY,14841,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,10.91,Hour,OVID,NY,
H-300-13324-682689,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-07,2014-01-13,2014-11-07,LUCAS VINEYARDS,3862 COUNTY ROAD #150,,INTERLAKEN,NY,,,,,,VINEYARD WORKER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,10.91,Hour,OVID,NY,
H-300-13324-799788,2013-12-02,H-2A,2013-11-21,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-06,2014-06-20,2014-01-06,2014-06-20,Julius Charles Blahut dba Blahut Farm,24980 Fayard Rd,,Holden,LA,70744,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",7,40,9.5,Hour,Holden,LA,Individual Employer
H-300-13324-803914,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,"Gulf South Growers Association, Inc.",161 Windmill Lane,,Lucedale,MS,39452,"AgWorks H2, LLC",Patricia Hall,Lake Park,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",32,40,9.5,Hour,Lucedale,MS,Association - Joint Employer (H-2A Only)
H-300-13324-803914,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,"Rivers Plant Farm, Inc.",590 Rock Hill Road,,Brandon,MS,39042,"AgWorks H2, LLC",Patricia Hall,Lake Park,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",20,40,9.5,Hour,Lucedale,MS,
H-300-13324-803914,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,"Ole Grady's Nursery, Inc.",2283 Hwy 26 West,,Lucedale,MS,39452,"AgWorks H2, LLC",Patricia Hall,Lake Park,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5,40,9.5,Hour,Lucedale,MS,
H-300-13324-803914,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,"Dutch Brothers Greenhouses, Inc.",161 Windmill Lane,,Lucedale,MS,39452,"AgWorks H2, LLC",Patricia Hall,Lake Park,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",5,40,9.5,Hour,Lucedale,MS,
H-300-13324-803914,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,"Deep South Nursery, Inc.",1126 New Hope Church Rd,,Lucedale,MS,39452,"AgWorks H2, LLC",Patricia Hall,Lake Park,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.5,Hour,Lucedale,MS,
H-300-13324-810388,2013-12-13,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-07,2014-09-30,2014-01-07,2014-09-30,John Carbalan Farms,29194 Raymond Highway,,Elton,LA,70532,"ASHLEY FORET DEES, IMMIGRATION LAW",ASHLEY DEES,LAKE CHARLES,LA,Farm worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,40,9.5,Hour,Elton,LA,Individual Employer
H-300-13324-873086,2013-12-31,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-02-01,2014-12-01,2014-02-01,2014-12-01,"GARRETT FLYING SERVICE, INC.",2111 CR 33,,Danbury,TX,77534,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Farm Labor,45-2091,Agricultural Equipment Operators,5,48,10.18,Hour,Danbury,TX,Individual Employer
H-300-13324-890059,2013-12-16,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-15,2014-07-31,2014-01-15,2014-07-31,"BK&M Farms, LLC",1398 Tepetate Road,,Basile,LA,70515,"ASHLEY FORET DEES, IMMIGRATION LAW",ASHLEY DEES,LAKE CHARLES,LA,Farm worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5,30,9.5,Hour,Basile,LA,Individual Employer
H-300-13324-953471,2013-12-04,H-2A,2013-11-20,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-15,2014-01-15,2014-11-15,"ENCHANTED MESA PROPERTIES, INC.",6530 OURAY COUNTY ROAD 24,,RIDGWAY,CO,81432,High Country Agricultural Services,KANDANCE KROPINAK,CRAIG,CO,Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,45,875,Month,RIDGWAY,CO,Individual Employer
H-300-13325-000155,2013-12-16,H-2A,2013-11-21,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-11-01,2014-01-15,2014-11-01,"EWS Farms, LLC",10080 Martin Road,,Welsh,LA,70591,"ASHLEY FORET DEES, IMMIGRATION LAW",ASHLEY DEES,LAKE CHARLES,LA,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.5,Hour,Welsh,LA,Individual Employer
H-300-13325-009890,2013-12-13,H-2A,2013-11-21,DETERMINATION ISSUED - CERTIFICATION,2014-01-13,2014-11-13,2014-01-13,2014-11-13,"YOUNG'S PLANT FARM, INC.",863 Airport Rd,PO Box 3410,Auburn,AL,36830,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Horticultural Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",70,40,9.78,Hour,Auburn,AL,Individual Employer
H-300-13325-176004,2013-12-12,H-2A,2013-11-21,DETERMINATION ISSUED - CERTIFICATION,2014-01-15,2014-10-31,2014-01-15,2014-10-31,Giambrocco Greenhouses Inc,7670 Alkire St,N/A,Arvada,CO,80005,FEWA,RITA ROMERO,BAY CITY,TX,Nursery Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",10,40,10.08,Hour,Arvada,CO,Individual Employer
H-300-13325-216737,2013-12-03,H-2A,2013-11-21,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-08,2014-08-20,2014-01-08,2014-08-20,Jimmy W. Durbin Farms,3233 County Road 30,"Mailing: PO Box 1777, Clanton, AL 35046",Clanton,AL,35045,"AGWORKS H2, LLC",PATRICIA HALL,LAKE PARK,GA,Farm Workers,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",35,40,9.78,Hour,Clanton,AL,Individual Employer
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,WESTERN RANGE ASSOCIATION,"1245 E. BRICKYARD ROAD, SUITE 190",,SALT LAKE CITY,UT,84106,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",218,40,750,Month,Eloy,AZ,Association - Joint Employer (H-2A Only)
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,FAULKNER LAND & LIVESTOCK COMPANY INC,1989 SOUTH 1875 EAST,,GOODING,ID,83330,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",11,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,NOTTINGHAM LAND & LIVESTOCK,1671 COUNTY ROAD 103,,CRAIG,CO,81625,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",10,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,JAMES CRAIG BAIR RANCH COMPANY,66418 HIGHWAY 6,,GLENWOOD SPRINGS,CO,81601,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",9,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,LADDER LIVESTOCK COMPANY LLC,489 CARBON COUNTY ROAD 710,,SAVERY,WY,82332,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,ELLISON RANCHING COMPANY,HC 32 BOX 240,,TUSCARORA,NV,89834,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",7,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,FRANK SHIRTS,29511 REDTOP ROAD,,WILDER,ID,83676,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,CLIFFORD DETAR & MARTIN RONAYNE,HASTING ROAD AND DELHI ROAD,,DIXON,CA,95620,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,WARREN RANCH COMPANY,1961 TORRINGTON ROAD,,CHEYENNE,WY,82009,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,RAFTOPOULOS RANCHES,51750 COUNTY ROAD 76,,CRAIG,CO,81625,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,CAMPBELL HANSMIRE SHEEP LLC,1448 12 ROAD,,LOMA,CO,81524,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,JOHN ESPIL SHEEP COMPANY,400 MEADOW ROAD,,LOVELOCK,NV,89419,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,40,750,Month,Eloy,AZ,
H-300-13325-315683,2014-01-10,H-2A,2013-11-26,DETERMINATION ISSUED - CERTIFICATION,2014-02-10,2015-02-09,2014-02-10,2015-02-09,NEED MORE SHEEP COMPANY,"HIGHWAY 93, 11 MILES EAST OF HWY 93",,NORTH SPRING,NV,89301,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,40,750,Month,Eloy,AZ,
